PERMNO,date,TICKER,RET
89848,01/03/2007,AGG,0.002106
89848,01/04/2007,AGG,0.002102
89848,01/05/2007,AGG,-0.000699
89848,01/08/2007,AGG,0.000600
89848,01/09/2007,AGG,0.000000
89848,01/10/2007,AGG,-0.001099
89848,01/11/2007,AGG,-0.001899
89848,01/12/2007,AGG,-0.001404
89848,01/16/2007,AGG,0.001505
89848,01/17/2007,AGG,-0.000801
89848,01/18/2007,AGG,0.001404
89848,01/19/2007,AGG,-0.000400
89848,01/22/2007,AGG,0.000501
89848,01/23/2007,AGG,-0.001902
89848,01/24/2007,AGG,-0.000301
89848,01/25/2007,AGG,-0.001304
89848,01/26/2007,AGG,-0.000100
89848,01/29/2007,AGG,-0.001306
89848,01/30/2007,AGG,0.001509
89848,01/31/2007,AGG,0.000804
89848,02/01/2007,AGG,0.000536
89848,02/02/2007,AGG,0.001410
89848,02/05/2007,AGG,0.001609
89848,02/06/2007,AGG,0.001908
89848,02/07/2007,AGG,0.001203
89848,02/08/2007,AGG,0.000601
89848,02/09/2007,AGG,-0.002301
89848,02/12/2007,AGG,-0.001003
89848,02/13/2007,AGG,-0.000100
89848,02/14/2007,AGG,0.003814
89848,02/15/2007,AGG,0.001400
89848,02/16/2007,AGG,0.000699
89848,02/20/2007,AGG,0.000499
89848,02/21/2007,AGG,-0.000100
89848,02/22/2007,AGG,-0.001995
89848,02/23/2007,AGG,0.002399
89848,02/26/2007,AGG,0.002194
89848,02/27/2007,AGG,0.004079
89848,02/28/2007,AGG,-0.000595
89848,03/01/2007,AGG,-0.000259
89848,03/02/2007,AGG,0.002091
89848,03/05/2007,AGG,-0.000596
89848,03/06/2007,AGG,-0.000696
89848,03/07/2007,AGG,0.000796
89848,03/08/2007,AGG,-0.000895
89848,03/09/2007,AGG,-0.002786
89848,03/12/2007,AGG,0.003093
89848,03/13/2007,AGG,0.002586
89848,03/14/2007,AGG,-0.001191
89848,03/15/2007,AGG,-0.001093
89848,03/16/2007,AGG,0.000099
89848,03/19/2007,AGG,-0.000696
89848,03/20/2007,AGG,0.000995
89848,03/21/2007,AGG,0.001292
89848,03/22/2007,AGG,-0.001886
89848,03/23/2007,AGG,-0.001392
89848,03/26/2007,AGG,-0.000598
89848,03/27/2007,AGG,0.000199
89848,03/28/2007,AGG,0.000498
89848,03/29/2007,AGG,-0.000697
89848,03/30/2007,AGG,-0.000897
89848,04/02/2007,AGG,0.001290
89848,04/03/2007,AGG,-0.001000
89848,04/04/2007,AGG,0.001101
89848,04/05/2007,AGG,-0.000900
89848,04/09/2007,AGG,-0.003803
89848,04/10/2007,AGG,0.001507
89848,04/11/2007,AGG,-0.000602
89848,04/12/2007,AGG,0.001204
89848,04/13/2007,AGG,-0.001604
89848,04/16/2007,AGG,0.002008
89848,04/17/2007,AGG,0.002906
89848,04/18/2007,AGG,0.001499
89848,04/19/2007,AGG,-0.000399
89848,04/20/2007,AGG,-0.000499
89848,04/23/2007,AGG,0.000999
89848,04/24/2007,AGG,0.000499
89848,04/25/2007,AGG,0.000399
89848,04/26/2007,AGG,-0.001894
89848,04/27/2007,AGG,-0.000200
89848,04/30/2007,AGG,0.003396
89848,05/01/2007,AGG,-0.000575
89848,05/02/2007,AGG,0.000300
89848,05/03/2007,AGG,-0.001099
89848,05/04/2007,AGG,0.001301
89848,05/07/2007,AGG,0.000999
89848,05/08/2007,AGG,-0.001098
89848,05/09/2007,AGG,-0.001199
89848,05/10/2007,AGG,0.001701
89848,05/11/2007,AGG,-0.001998
89848,05/14/2007,AGG,0.000200
89848,05/15/2007,AGG,-0.000400
89848,05/16/2007,AGG,0.000200
89848,05/17/2007,AGG,-0.001702
